TRGT_FUND_NBR,EFFTV_STRT_DT,EFFTV_END_DT,FUND_NBR,WGT_TYPE,TRGT_FUND_WGT
2603,9/10/2009,12/31/2009,2022,"MODEL",0.0312
2604,9/10/2009,12/31/2009,2022,"MODEL",0.039
2605,9/10/2009,12/31/2009,2022,"MODEL",0.0468
2606,9/10/2009,12/31/2009,2022,"MODEL",0.0546
2607,9/10/2009,12/31/2009,2022,"MODEL",0.0624
2608,9/10/2009,12/31/2009,2022,"MODEL",0.0702
2609,9/10/2009,12/31/2009,2022,"MODEL",0.0702
2600,9/10/2009,12/31/2009,2023,"MODEL",0.0195
2601,9/10/2009,12/31/2009,2023,"MODEL",0.02925
2602,9/10/2009,12/31/2009,2023,"MODEL",0.034125
2603,9/10/2009,12/31/2009,2023,"MODEL",0.039
2604,9/10/2009,12/31/2009,2023,"MODEL",0.04875
2605,9/10/2009,12/31/2009,2023,"MODEL",0.0585
2606,9/10/2009,12/31/2009,2023,"MODEL",0.06825
2607,9/10/2009,12/31/2009,2023,"MODEL",0.078
2608,9/10/2009,12/31/2009,2023,"MODEL",0.08775
2609,9/10/2009,12/31/2009,2023,"MODEL",0.08775
2600,9/10/2009,12/31/2009,2024,"MODEL",0.0235
2601,9/10/2009,12/31/2009,2024,"MODEL",0.0564
2602,9/10/2009,12/31/2009,2024,"MODEL",0.0799
2603,9/10/2009,12/31/2009,2024,"MODEL",0.092
2604,9/10/2009,12/31/2009,2024,"MODEL",0.1
2605,9/10/2009,12/31/2009,2024,"MODEL",0.105
2606,9/10/2009,12/31/2009,2024,"MODEL",0.091
2607,9/10/2009,12/31/2009,2024,"MODEL",0.064
2608,9/10/2009,12/31/2009,2024,"MODEL",0.028
2609,9/10/2009,12/31/2009,2024,"MODEL",0.028
2600,9/10/2009,12/31/2009,2025,"MODEL",0.1978421
2601,9/10/2009,12/31/2009,2025,"MODEL",0.1291636
2602,9/10/2009,12/31/2009,2025,"MODEL",0.1060482
2603,9/10/2009,12/31/2009,2025,"MODEL",0.088825
2604,9/10/2009,12/31/2009,2025,"MODEL",0.056
2605,9/10/2009,12/31/2009,2025,"MODEL",0.028
2606,9/10/2009,12/31/2009,2025,"MODEL",0.013
2607,9/10/2009,12/31/2009,2025,"MODEL",0
2608,9/10/2009,12/31/2009,2025,"MODEL",0
2609,9/10/2009,12/31/2009,2025,"MODEL",0
2600,9/10/2009,12/31/2009,2029,"MODEL",0
2601,9/10/2009,12/31/2009,2029,"MODEL",0.02
2602,9/10/2009,12/31/2009,2029,"MODEL",0.03
2603,9/10/2009,12/31/2009,2029,"MODEL",0.04
2604,9/10/2009,12/31/2009,2029,"MODEL",0.05
2605,9/10/2009,12/31/2009,2029,"MODEL",0.05
2606,9/10/2009,12/31/2009,2029,"MODEL",0.04
2607,9/10/2009,12/31/2009,2029,"MODEL",0.04
2608,9/10/2009,12/31/2009,2029,"MODEL",0.03
2609,9/10/2009,12/31/2009,2029,"MODEL",0.03
2600,1/1/2010,6/9/2010,2010,"MODEL",0.0104
2601,1/1/2010,6/9/2010,2010,"MODEL",0.01456
2602,1/1/2010,6/9/2010,2010,"MODEL",0.01768
2603,1/1/2010,6/9/2010,2010,"MODEL",0.02028
2604,1/1/2010,6/9/2010,2010,"MODEL",0.02496
2600,1/1/2010,6/9/2010,2011,"MODEL",0.049
2601,1/1/2010,6/9/2010,2011,"MODEL",0.0686
2602,1/1/2010,6/9/2010,2011,"MODEL",0.0833
2603,1/1/2010,6/9/2010,2011,"MODEL",0.09555
2604,1/1/2010,6/9/2010,2011,"MODEL",0.1176
2600,1/1/2010,6/9/2010,2012,"MODEL",0.0286
2601,1/1/2010,6/9/2010,2012,"MODEL",0.04004
2602,1/1/2010,6/9/2010,2012,"MODEL",0.04862
2603,1/1/2010,6/9/2010,2012,"MODEL",0.05577
2604,1/1/2010,6/9/2010,2012,"MODEL",0.06864
2600,1/1/2010,6/9/2010,2013,"MODEL",0.0429
2601,1/1/2010,6/9/2010,2013,"MODEL",0.06006
2602,1/1/2010,6/9/2010,2013,"MODEL",0.07293
2603,1/1/2010,6/9/2010,2013,"MODEL",0.083655
2604,1/1/2010,6/9/2010,2013,"MODEL",0.10296
2600,1/1/2010,6/9/2010,2014,"MODEL",0.4286579
2601,1/1/2010,6/9/2010,2014,"MODEL",0.36128
2602,1/1/2010,6/9/2010,2014,"MODEL",0.33613
2603,1/1/2010,6/9/2010,2014,"MODEL",0.33015
2604,1/1/2010,6/9/2010,2014,"MODEL",0.30104
2600,1/1/2010,6/9/2010,2015,"MODEL",0.15
2601,1/1/2010,6/9/2010,2015,"MODEL",0.15
2602,1/1/2010,6/9/2010,2015,"MODEL",0.11
2603,1/1/2010,6/9/2010,2015,"MODEL",0.06
2604,1/1/2010,6/9/2010,2015,"MODEL",0.01
2600,1/1/2010,6/9/2010,2017,"MODEL",0.021
2601,1/1/2010,6/9/2010,2017,"MODEL",0.0294
2602,1/1/2010,6/9/2010,2017,"MODEL",0.0357
2603,1/1/2010,6/9/2010,2017,"MODEL",0.04095
2604,1/1/2010,6/9/2010,2017,"MODEL",0.0504
2600,1/1/2010,6/9/2010,2019,"MODEL",0.013
2601,1/1/2010,6/9/2010,2019,"MODEL",0.0182
