TGT_FUND_NBR,EFFTV_STRT_DT,EFFTV_END_DT,FUND_NBR,TRGT_FUND_WGT,WGT_TYPE
2608,9/10/2009,12/31/2009,2022,0.0702,"MODEL"
2608,9/10/2009,12/31/2009,2023,0.08775,"MODEL"
2608,9/10/2009,12/31/2009,2013,0.19305,"MODEL"
2608,9/10/2009,12/31/2009,2010,0.0468,"MODEL"
2608,9/10/2009,12/31/2009,2019,0.0585,"MODEL"
2608,9/10/2009,12/31/2009,2012,0.1287,"MODEL"
2605,9/10/2009,12/31/2009,2015,0,"MODEL"
2605,9/10/2009,12/31/2009,2025,0.028,"MODEL"
2605,9/10/2009,12/31/2009,2014,0.217,"MODEL"
2605,9/10/2009,12/31/2009,2024,0.105,"MODEL"
2605,9/10/2009,12/31/2009,2029,0.05,"MODEL"
2605,9/10/2009,12/31/2009,2017,0.063,"MODEL"
2605,9/10/2009,12/31/2009,2011,0.147,"MODEL"
2605,9/10/2009,12/31/2009,2022,0.0468,"MODEL"
2605,9/10/2009,12/31/2009,2023,0.0585,"MODEL"
2605,9/10/2009,12/31/2009,2013,0.1287,"MODEL"
2605,9/10/2009,12/31/2009,2010,0.0312,"MODEL"
2605,9/10/2009,12/31/2009,2019,0.039,"MODEL"
2605,9/10/2009,12/31/2009,2012,0.0858,"MODEL"
2601,9/10/2009,12/31/2009,2015,0.15,"MODEL"
2601,9/10/2009,12/31/2009,2025,0.1291636,"MODEL"
2601,9/10/2009,12/31/2009,2014,0.3444364,"MODEL"
2601,9/10/2009,12/31/2009,2024,0.0564,"MODEL"
2601,9/10/2009,12/31/2009,2029,0.02,"MODEL"
2601,9/10/2009,12/31/2009,2017,0.0315,"MODEL"
2601,1/1/2010,6/9/2010,2015,0.15,"MODEL"
2600,1/1/2010,6/9/2010,2012,0.0286,"MODEL"
2601,1/1/2010,6/9/2010,2028,0.01092,"MODEL"
2600,1/1/2010,6/9/2010,2013,0.0429,"MODEL"
2603,1/1/2010,6/9/2010,2015,0.06,"MODEL"
2602,1/1/2010,6/9/2010,2025,0.11067,"MODEL"
2602,1/1/2010,6/9/2010,2011,0.0833,"MODEL"
2604,1/1/2010,6/9/2010,2015,0.01,"MODEL"
2604,1/1/2010,6/9/2010,2025,0.06256,"MODEL"
2600,1/1/2010,6/9/2010,2015,0.15,"MODEL"
2600,1/1/2010,6/9/2010,2022,0.0078,"MODEL"
2604,1/1/2010,6/9/2010,2013,0.10296,"MODEL"
2603,1/1/2010,6/9/2010,2014,0.33015,"MODEL"
2603,1/1/2010,6/9/2010,2024,0.08958,"MODEL"
2600,1/1/2010,6/9/2010,2011,0.049,"MODEL"
2604,1/1/2010,6/9/2010,2019,0.0312,"MODEL"
2603,1/1/2010,6/9/2010,2028,0.01521,"MODEL"
2602,1/1/2010,6/9/2010,2010,0.01768,"MODEL"
2603,1/1/2010,6/9/2010,2010,0.02028,"MODEL"
2603,1/1/2010,6/9/2010,2017,0.04095,"MODEL"
2601,1/1/2010,6/9/2010,2017,0.0294,"MODEL"
2602,1/1/2010,6/9/2010,2028,0.01326,"MODEL"
2600,1/1/2010,6/9/2010,2014,0.4286579,"MODEL"
2601,1/1/2010,6/9/2010,2012,0.04004,"MODEL"
2601,1/1/2010,6/9/2010,2022,0.01092,"MODEL"
2600,1/1/2010,6/9/2010,2025,0.1978421,"MODEL"
2602,1/1/2010,6/9/2010,2013,0.07293,"MODEL"
2600,1/1/2010,6/9/2010,2010,0.0104,"MODEL"
2602,1/1/2010,6/9/2010,2015,0.11,"MODEL"
2601,1/1/2010,6/9/2010,2025,0.1429,"MODEL"
2601,1/1/2010,6/9/2010,2014,0.36128,"MODEL"
2602,1/1/2010,6/9/2010,2017,0.0357,"MODEL"
2602,1/1/2010,6/9/2010,2019,0.0221,"MODEL"
2603,1/1/2010,6/9/2010,2029,0.038,"MODEL"
2600,1/1/2010,6/9/2010,2028,0.0078,"MODEL"
2603,1/1/2010,6/9/2010,2022,0.01521,"MODEL"
2604,1/1/2010,6/9/2010,2028,0.01872,"MODEL"
2602,1/1/2010,6/9/2010,2012,0.04862,"MODEL"
2602,1/1/2010,6/9/2010,2014,0.33613,"MODEL"
2604,1/1/2010,6/9/2010,2024,0.0984,"MODEL"
2603,1/1/2010,6/9/2010,2025,0.09227,"MODEL"
2604,1/1/2010,6/9/2010,2029,0.048,"MODEL"
2601,1/1/2010,6/9/2010,2023,0.0273,"MODEL"
2601,1/1/2010,6/9/2010,2013,0.06006,"MODEL"
